"Time","Aujourd'hui","Moyenne minute","Moyenne Heure"
2020-10-21 14:00:00,10358,863,859
2020-10-22 02:00:00,2417,305,294
2020-10-22 14:00:00,7089,738,737
2020-10-23 02:00:00,2947,609,589
2020-10-23 14:00:00,8448,406,413
2020-10-24 02:00:00,2855,732,640
2020-10-24 14:00:00,11425,779,864
2020-10-25 02:00:00,1867,263,298
2020-10-25 13:00:00,5410,495,491
2020-10-26 01:00:00,1755,328,315
2020-10-26 13:00:00,7198,573,582
2020-10-27 01:00:00,2426,675,539
2020-10-27 13:00:00,11518,559,683
2020-10-28 01:00:00,2019,455,371
2020-10-28 13:00:00,7500,399,484
2020-10-29 01:00:00,1604,313,297
2020-10-29 13:00:00,6016,525,535
2020-10-30 01:00:00,2516,696,614
2020-10-30 13:00:00,10341,551,617
2020-10-31 01:00:00,2739,660,644
2020-10-31 13:00:00,9278,342,343
2020-11-01 01:00:00,2675,548,520
2020-11-01 13:00:00,9268,628,640
2020-11-02 01:00:00,1816,307,306
2020-11-02 13:00:00,6094,481,485
2020-11-03 01:00:00,1515,269,246
2020-11-03 13:00:00,5826,530,519998
2020-11-04 01:00:00,3082,922,781
2020-11-04 13:00:00,13855,627,760
2020-11-05 01:00:00,1648,346,319
2020-11-05 13:00:00,6829,638,638
2020-11-06 01:00:00,2184,375,336
2020-11-06 13:00:00,6135,480,487
2020-11-07 01:00:00,2673,777,600
2020-11-07 13:00:00,12366,578,699
2020-11-08 01:00:00,2399,685,555
2020-11-08 13:00:00,12107,695,801
2020-11-09 01:00:00,1843,315,285
2020-11-09 13:00:00,4483,137,186
2020-11-10 01:00:00,0,0,0
2020-11-10 13:00:00,0,0,0
2020-11-11 01:00:00,0,0,0
2020-11-11 13:00:00,0,0,0
2020-11-12 01:00:00,875,2080,3884
2020-11-12 13:00:00,2097,7245,530903
2020-11-13 01:00:00,2678,684,589
2020-11-13 13:00:00,9952,387,464
2020-11-14 01:00:00,1630,297,282
2020-11-14 13:00:00,5976,516,525
2020-11-15 01:00:00,1888,376,363
2020-11-15 13:00:00,8682,704,701
2020-11-16 01:00:00,1680,318,303
2020-11-16 13:00:00,6708,528,536
2020-11-17 01:00:00,1894,431,313
2020-11-17 13:00:00,8869,646,751
2020-11-18 01:00:00,1818,471,342
2020-11-18 13:00:00,11526,984,1117
2020-11-19 01:00:00,1665,325,276
2020-11-19 13:00:00,5828,494,533
2020-11-20 01:00:00,2012,509,350
2020-11-20 13:00:00,7950,413,562
2020-11-21 01:00:00,2311,533,516
2020-11-21 13:00:00,9627,560,592
2020-11-22 01:00:00,1991,477,412
2020-11-22 13:00:00,8546,617,669
2020-11-23 01:00:00,2608,482,481
2020-11-23 13:00:00,8439,523,518
2020-11-24 01:00:00,3299,778,763
2020-11-24 13:00:00,10856,409,410
2020-11-25 01:00:00,2804,563,559
2020-11-25 13:00:00,8886,464,471
2020-11-26 01:00:00,3556,800,808
2020-11-26 13:00:00,10990,423,423
2020-11-27 01:00:00,2392,519,452
2020-11-27 13:00:00,10741,698,757
2020-11-28 01:00:00,2028,314,307
2020-11-28 13:00:00,6011,496,498
2020-11-29 01:00:00,2016,354,327
2020-11-29 13:00:00,6378,495,513
2020-11-30 01:00:00,2603,576,557
2020-11-30 13:00:00,8744,429,423
2020-12-01 01:00:00,2623,393,396
2020-12-01 13:00:00,10026,787,776
2020-12-02 01:00:00,2290,460,398
2020-12-02 13:00:00,9493,736,790
2020-12-03 01:00:00,2927,597,582
2020-12-03 13:00:00,9417,471,472
2020-12-04 01:00:00,2312,463,420
2020-12-04 13:00:00,8197,581,487699
2020-12-05 01:00:00,2198,319,324
2020-12-05 13:00:00,7097,582,577
2020-12-06 01:00:00,2254,369,371
2020-12-06 13:00:00,6871,507,507
2020-12-07 01:00:00,2481,635,497
2020-12-07 13:00:00,9657,418,553
2020-12-08 01:00:00,3810,1085,929
2020-12-08 13:00:00,15954,591,759
2020-12-09 01:00:00,2220,383,372
2020-12-09 13:00:00,7312,563,580
2020-12-10 01:00:00,2679,637,555
2020-12-10 13:00:00,14122,973,495022
2020-12-11 01:00:00,2908,682,659
2020-12-11 13:00:00,10423,586,602
2020-12-12 01:00:00,2068,326,326
2020-12-12 13:00:00,6395,502,495
2020-12-13 01:00:00,1998,314,308
2020-12-13 13:00:00,5838,516,515
2020-12-14 01:00:00,2280,383,379
2020-12-14 13:00:00,6324,353,355
2020-12-15 01:00:00,2584,506,487
2020-12-15 13:00:00,9433,653,653
2020-12-16 01:00:00,2221,497,473
2020-12-16 13:00:00,7526,362,371
2020-12-17 01:00:00,2093,346,322
2020-12-17 13:00:00,8438,744,755
2020-12-18 01:00:00,2925,720,647
2020-12-18 13:00:00,10922,487,541
2020-12-19 01:00:00,2120,439,364
2020-12-19 13:00:00,9739,641,702
2020-12-20 01:00:00,2340,507,437
2020-12-20 13:00:00,8756,495,551
2020-12-21 01:00:00,2005,379,369
2020-12-21 13:00:00,7364,475,478
2020-12-22 01:00:00,1821,292,286
