"Time","Fenêtre Evier"
2020-06-01 14:21:47,0
2020-06-01 14:24:19,0
2020-06-02 07:14:22,0
2020-06-02 07:14:22,0
2020-06-02 12:01:05,0
2020-06-03 08:52:18,0
2020-06-03 08:52:18,0
2020-06-03 13:52:37,0
2020-06-03 15:50:01,0
2020-06-03 15:50:01,0
2020-06-03 20:54:27,0
2020-06-04 11:57:50,0
2020-06-04 12:46:02,0
2020-06-04 12:46:02,0
2020-06-05 08:03:06,1
2020-06-05 08:14:51,0
2020-06-05 08:14:51,0
2020-06-06 07:45:49,1
2020-06-06 07:53:16,0
2020-06-06 07:53:16,0
2020-06-06 18:10:59,0
2020-06-06 18:10:59,0
2020-06-08 14:06:42,1
2020-06-08 16:45:30,0
2020-06-08 16:45:30,0
2020-06-10 10:51:49,1
2020-06-10 12:07:42,0
2020-06-10 12:07:42,0
2020-06-11 07:51:12,0
2020-06-11 07:51:12,0
2020-06-11 12:30:15,0
2020-06-11 20:29:31,1
2020-06-11 20:29:32,0
2020-06-11 20:29:32,0
2020-06-12 12:05:46,1
2020-06-12 13:04:16,0
2020-06-12 13:04:16,0
2020-06-12 15:52:17,1
2020-06-12 17:56:21,0
2020-06-12 17:56:21,0
2020-06-13 11:12:53,1
2020-06-13 11:29:07,0
2020-06-13 11:29:07,0
2020-06-13 17:09:19,1
2020-06-13 17:38:55,0
2020-06-13 17:38:55,0
2020-06-14 12:01:28,1
2020-06-14 12:01:28,1
2020-06-14 14:28:19,0
2020-06-14 14:28:20,0
2020-06-15 11:59:06,0
2020-06-15 11:59:06,0
2020-06-15 13:31:05,0
2020-06-15 14:18:34,0
2020-06-15 14:18:34,0
2020-06-15 19:07:23,0
2020-06-16 09:38:45,0
2020-06-16 09:38:45,0
2020-06-16 13:26:14,0
2020-06-16 14:30:21,1
2020-06-16 21:18:28,0
2020-06-16 21:18:28,0
2020-06-17 12:02:48,1
2020-06-17 12:02:48,1
2020-06-17 18:45:33,0
2020-06-17 18:45:33,0
2020-06-17 19:01:01,0
2020-06-18 09:47:29,0
2020-06-18 09:47:29,0
2020-06-18 13:59:05,0
2020-06-18 17:45:06,0
2020-06-18 17:45:06,0
2020-06-18 18:07:08,0
2020-06-19 08:11:14,1
2020-06-19 08:47:30,0
2020-06-19 08:47:30,0
2020-06-19 15:05:51,1
2020-06-19 16:48:25,0
2020-06-19 16:48:25,0
2020-06-20 08:14:48,1
2020-06-20 09:25:57,0
2020-06-20 09:25:58,0
2020-06-20 20:55:43,1
2020-06-20 21:50:02,0
2020-06-20 21:50:02,0
2020-06-21 07:38:08,1
2020-06-21 09:00:49,0
2020-06-21 09:00:49,0
2020-06-22 07:12:06,1
2020-06-22 13:26:56,0
2020-06-22 13:26:56,0
2020-06-22 16:49:21,0
2020-06-22 16:49:22,0
2020-06-22 19:23:01,0
2020-06-23 06:58:43,1
2020-06-23 10:02:06,0
2020-06-23 10:02:06,0
2020-06-23 20:59:05,1
2020-06-23 21:29:49,0
2020-06-23 21:29:49,0
2020-06-24 07:33:36,1
2020-06-24 09:29:04,0
2020-06-24 09:29:04,0
2020-06-25 11:12:23,0
2020-06-25 11:12:23,0
2020-06-25 11:26:36,0
2020-06-26 06:36:00,1
2020-06-26 07:24:49,0
2020-06-26 07:24:49,0
2020-06-28 20:08:42,1
2020-06-28 22:00:10,0
2020-06-28 22:00:10,0
2020-06-29 10:05:12,0
2020-06-29 10:05:12,0
2020-06-29 10:52:01,0
2020-06-29 14:00:07,0
2020-06-29 14:00:07,0
2020-06-29 14:30:30,0
2020-06-30 11:51:52,1
2020-06-30 11:53:07,0
2020-06-30 11:53:08,0
2020-06-30 18:45:45,1
2020-06-30 18:46:11,0
2020-06-30 18:46:11,0
2020-07-01 07:40:37,1
2020-07-01 10:47:06,0
2020-07-01 10:47:06,0
2020-07-01 19:58:26,1
2020-07-01 21:05:41,0
2020-07-01 21:05:41,0
2020-07-02 07:11:30,1
2020-07-02 10:39:42,0
2020-07-02 10:39:42,0
2020-07-03 07:56:56,1
2020-07-03 10:59:07,0
2020-07-03 10:59:07,0
2020-07-04 07:31:44,1
2020-07-04 07:31:44,1
2020-07-04 14:42:12,0
2020-07-04 14:42:13,0
2020-07-04 22:03:34,0
2020-07-05 07:51:39,1
2020-07-05 10:41:04,0
2020-07-05 10:41:05,0
2020-07-06 07:22:03,1
2020-07-06 12:52:53,0
2020-07-06 12:52:53,0
2020-07-06 14:51:19,0
2020-07-06 14:51:19,0
2020-07-06 16:47:55,0
2020-07-07 07:37:35,1
2020-07-07 07:37:35,1
2020-07-07 14:13:39,0
2020-07-07 14:13:39,0
2020-07-08 09:11:46,0
2020-07-08 09:11:46,0
2020-07-08 12:28:10,0
2020-07-08 20:50:56,1
2020-07-08 20:50:56,1
2020-07-09 09:29:22,0
2020-07-09 09:29:22,0
2020-07-09 12:34:54,0
2020-07-10 07:29:25,1
2020-07-10 09:37:46,0
2020-07-10 09:37:46,0
2020-07-14 08:16:42,1
2020-07-14 11:20:39,0
2020-07-14 11:20:39,0
2020-07-14 19:31:48,1
2020-07-14 19:31:53,0
2020-07-14 19:31:53,0
2020-07-15 07:12:46,1
2020-07-15 08:35:12,0
2020-07-15 08:35:12,0
2020-07-16 07:29:13,0
2020-07-16 07:29:13,0
2020-07-16 09:43:34,0
2020-07-16 21:08:49,1
2020-07-16 22:40:14,0
2020-07-16 22:40:14,0
2020-07-17 09:26:20,0
2020-07-17 09:26:20,0
2020-07-17 09:53:33,0
2020-07-17 17:00:24,1
2020-07-17 17:00:30,0
2020-07-17 17:00:30,0
2020-07-18 08:14:11,1
2020-07-18 09:39:39,0
2020-07-18 09:39:39,0
2020-07-19 10:51:47,0
2020-07-19 11:54:24,0
2020-07-19 11:54:24,0
2020-07-20 07:20:12,1
2020-07-20 12:57:39,0
2020-07-20 12:57:39,0
2020-07-21 12:10:49,0
2020-07-21 12:10:49,0
2020-07-21 12:49:21,0
2020-07-21 18:10:12,0
2020-07-21 18:10:13,0
2020-07-21 18:11:08,0
2020-07-22 08:26:10,0
2020-07-22 08:26:10,0
2020-07-22 12:27:08,0
2020-07-22 20:57:20,1
2020-07-22 22:34:58,0
2020-07-22 22:34:58,0
2020-07-23 07:20:21,1
2020-07-23 07:20:21,1
2020-07-23 14:20:04,0
2020-07-23 14:20:04,0
2020-07-23 14:20:12,0
2020-07-24 12:57:40,0
2020-07-24 12:57:41,0
2020-07-24 12:59:04,0
2020-07-24 21:04:39,1
2020-07-24 22:54:12,0
2020-07-24 22:54:12,0
2020-07-25 19:27:36,0
2020-08-01 16:21:35,0
2020-08-01 17:21:35,0
2020-08-01 17:21:36,0
2020-08-02 07:57:33,1
2020-08-02 11:22:09,0
2020-08-02 11:22:09,0
2020-08-02 15:40:58,1
2020-08-02 22:10:55,0
2020-08-02 22:10:55,0
2020-08-03 08:50:23,0
2020-08-03 08:50:23,0
2020-08-03 08:53:17,0
2020-08-03 14:28:04,0
2020-08-03 14:28:04,0
2020-08-03 18:02:03,0
2020-08-04 08:29:20,0
2020-08-04 08:29:20,0
2020-08-04 08:52:01,0
2020-08-04 14:30:58,0
2020-08-04 14:30:58,0
2020-08-05 07:53:31,1
2020-08-05 09:24:22,0
2020-08-05 09:24:22,0
2020-08-09 20:05:18,0
2020-08-09 20:05:18,0
2020-08-09 20:05:48,0
2020-08-10 08:41:47,0
2020-08-10 08:41:47,0
2020-08-10 11:26:23,0
2020-08-10 21:21:49,1
2020-08-10 22:03:10,0
2020-08-10 22:03:10,0
2020-08-11 08:01:49,1
2020-08-11 10:42:59,0
2020-08-11 10:42:59,0
2020-08-12 07:49:10,1
2020-08-12 09:18:55,0
2020-08-12 09:18:55,0
2020-08-12 19:06:15,0
2020-08-12 19:06:15,0
2020-08-12 19:08:09,0
2020-08-13 07:57:35,1
2020-08-13 07:57:35,1
2020-08-13 14:36:59,0
2020-08-13 14:36:59,0
2020-08-13 22:36:46,0
2020-08-14 07:40:52,1
2020-08-14 07:40:52,1
2020-08-14 14:39:02,0
2020-08-14 14:39:02,0
2020-08-14 18:41:12,0
2020-08-15 08:45:32,1
2020-08-15 11:45:30,0
2020-08-15 11:45:30,0
2020-08-15 19:50:52,1
2020-08-15 19:52:29,0
2020-08-15 19:52:30,0
2020-08-16 08:14:22,1
2020-08-16 08:14:22,1
2020-08-16 15:47:56,0
2020-08-16 15:47:56,0
2020-08-16 18:55:20,0
2020-08-17 07:47:07,1
2020-08-17 07:47:07,1
2020-08-17 19:49:17,0
2020-08-17 19:49:17,0
2020-08-18 07:46:30,1
2020-08-18 07:46:30,1
2020-08-18 14:46:18,0
2020-08-18 14:46:18,0
2020-08-18 15:26:14,0
2020-08-19 10:01:31,0
2020-08-19 10:01:31,0
2020-08-19 13:58:28,0
2020-08-19 21:34:49,1
2020-08-19 22:45:04,0
2020-08-19 22:45:04,0
2020-08-20 08:18:30,1
2020-08-20 09:07:19,0
2020-08-20 09:07:19,0
2020-08-21 09:19:57,1
2020-08-21 09:19:57,1
2020-08-21 14:35:14,0
2020-08-21 14:35:14,0
2020-08-22 08:33:10,1
2020-08-22 08:33:10,1
2020-08-22 09:58:24,0
2020-08-22 15:50:37,0
2020-08-22 15:50:38,0
2020-08-22 21:50:15,0
2020-08-23 08:40:13,0
2020-08-23 08:40:13,0
2020-08-23 11:20:20,0
2020-08-23 19:32:07,1
2020-08-23 21:53:16,0
2020-08-23 21:53:16,0
2020-08-24 07:50:44,1
2020-08-24 09:19:42,0
2020-08-24 09:19:42,0
2020-08-24 14:55:15,0
2020-08-24 14:55:15,0
2020-08-25 09:28:06,0
2020-08-25 09:28:06,0
2020-08-25 12:23:48,0
2020-08-25 18:51:54,1
2020-08-25 18:51:57,0
2020-08-25 18:51:57,0
2020-08-26 11:27:42,0
2020-08-26 11:27:42,0
2020-08-26 11:27:44,0
2020-08-26 17:54:11,1
2020-08-26 17:54:16,0
2020-08-26 17:54:16,0
2020-08-27 07:02:39,1
2020-08-27 13:37:39,0
2020-08-27 13:37:39,0
2020-08-27 14:52:25,1
2020-08-27 15:53:49,0
2020-08-27 15:53:49,0
2020-08-28 09:17:27,0
2020-08-28 09:17:27,0
2020-08-28 13:46:27,0
2020-08-28 15:51:31,1
2020-08-28 17:00:16,0
2020-08-28 17:00:16,0
2020-08-29 10:12:39,1
2020-08-29 10:12:39,1
2020-08-29 17:38:56,0
2020-08-29 17:38:56,0
2020-08-30 09:04:41,0
2020-08-30 09:04:41,0
2020-08-30 09:40:32,0
2020-08-30 15:51:25,0
2020-08-30 15:51:25,0
2020-08-30 16:14:15,0
2020-08-31 09:12:51,1
2020-08-31 09:36:56,0
2020-08-31 09:36:56,0
2020-08-31 14:43:56,0
2020-08-31 14:43:56,0
2020-08-31 15:55:13,0
2020-09-01 09:46:18,1
2020-09-01 11:40:44,0
2020-09-01 11:40:44,0
2020-09-01 15:25:28,0
2020-09-01 15:25:28,0
2020-09-02 07:20:28,1
2020-09-02 07:53:06,0
2020-09-02 07:53:06,0
2020-09-02 14:52:10,0
2020-09-02 14:52:10,0
2020-09-02 15:43:17,0
2020-09-03 08:41:35,1
2020-09-03 09:24:35,0
2020-09-03 09:24:36,0
2020-09-03 18:51:53,0
2020-09-03 18:51:53,0
2020-09-04 12:32:23,1
2020-09-04 12:32:23,1
2020-09-04 18:14:21,0
2020-09-04 18:14:21,0
2020-09-05 09:38:40,1
2020-09-05 09:38:40,1
2020-09-05 14:38:45,0
2020-09-05 14:38:45,0
2020-09-05 18:43:05,0
2020-09-06 08:24:17,0
2020-09-06 08:24:17,0
2020-09-06 10:40:47,0
2020-09-06 15:44:32,0
2020-09-06 15:44:32,0
2020-09-07 13:29:16,0
2020-09-07 13:29:16,0
2020-09-07 13:29:18,0
2020-09-07 14:35:42,0
2020-09-07 14:35:42,0
2020-09-07 15:45:54,0
2020-09-08 11:41:04,1
2020-09-08 11:41:04,1
2020-09-08 16:10:24,0
2020-09-08 16:10:24,0
2020-09-08 20:50:28,0
2020-09-09 08:38:23,1
2020-09-09 11:49:20,0
2020-09-09 11:49:20,0
2020-09-09 18:34:53,0
2020-09-09 18:34:54,0
2020-09-10 08:03:44,1
2020-09-10 13:41:09,0
2020-09-10 13:41:09,0
2020-09-10 15:00:13,0
2020-09-10 15:00:13,0
2020-09-10 18:31:19,0
2020-09-11 11:15:12,0
2020-09-11 11:15:12,0
2020-09-11 13:25:18,0
2020-09-12 09:10:16,1
2020-09-12 09:17:10,0
2020-09-12 09:17:10,0
2020-09-13 08:28:51,0
2020-09-13 08:28:51,0
2020-09-13 11:43:27,0
2020-09-13 14:44:39,0
2020-09-13 14:44:39,0
2020-09-13 21:05:54,0
2020-09-14 07:57:01,1
2020-09-14 12:44:36,0
2020-09-14 12:44:36,0
2020-09-14 16:58:06,0
2020-09-14 16:58:06,0
2020-09-14 18:42:48,0
2020-09-15 07:04:38,1
2020-09-15 11:22:53,0
2020-09-15 11:22:53,0
2020-09-15 20:57:00,1
2020-09-15 20:57:00,1
2020-09-16 12:47:39,0
2020-09-16 12:47:39,0
2020-09-16 18:26:30,0
2020-09-16 18:26:30,0
2020-09-16 21:20:55,0
2020-09-17 07:05:16,1
2020-09-17 12:16:24,0
2020-09-17 12:16:24,0
2020-09-17 20:28:59,1
2020-09-17 22:19:27,0
2020-09-17 22:19:27,0
2020-09-18 07:05:14,1
2020-09-18 11:11:21,0
2020-09-18 11:11:21,0
2020-09-18 17:37:34,0
2020-09-18 17:37:34,0
2020-09-18 17:37:41,0
2020-09-19 07:56:03,1
2020-09-19 07:56:03,1
2020-09-19 15:26:06,0
2020-09-19 15:26:06,0
2020-09-19 16:02:21,0
2020-09-20 08:01:09,0
2020-09-20 08:01:09,0
2020-09-20 11:00:56,0
2020-09-20 16:04:50,0
2020-09-20 16:04:50,0
